title,true,pred
New York prison break: DNA found in cabin,REAL,FAKE
Dem outcry on abortion measure they failed to notice threatens to stall anti-sex trafficking bill,REAL,FAKE
SHOCKER!!! Left Wing MSNBC commentator Chris Mathews has just endorsed Donald Trump for president,FAKE,REAL
Black faith is under attack: How to make sense of white supremacy’s Charleston crimes,REAL,FAKE
‘Are We Next?’,REAL,FAKE
Hillary Clinton: The Alt-Right Has 'Effectively Taken Over the Republican Party',REAL,FAKE
EU Approves Expansion of Electric Vehicle Charging Network,REAL,FAKE
'Blue and Brave': Illinois town rallies around police as search for officer's killer goes on,REAL,FAKE
The President Of The United States of America: Donald J. Trump,FAKE,REAL
"Democratic challengers launch attacks against Clinton, party leadership",REAL,FAKE
Expert: ISIL 'highly likely' to launch gas attack in London,REAL,FAKE
"To finish MLK's work, face up to racism (Opinion)",REAL,FAKE
Wisconsin primary: 5 things to watch,REAL,FAKE
"Airstrikes Move To Syria, Target More Than Just ISIS",REAL,FAKE
What we've forgotten about childhood disease risks,REAL,FAKE
"Families To Roof: 'I Forgive You, And Have Mercy On Your Soul'",REAL,FAKE
"DOJ: Guardsman, cousin charged with supporting ISIL",REAL,FAKE
Judge Blocks President Obama's Immigration Order,REAL,FAKE
Police Arrest 12 Suspected Of Helping Paris Gunmen,REAL,FAKE
October Shocker: FBI Has Explosive Information on Trump Conspiring With Putin,FAKE,REAL
Climate change: What you can do (Opinion),REAL,FAKE
Jury selection begins in Colorado theater shooting trial,REAL,FAKE
A Hindu Justice? Why Religion Matters for the High Court,REAL,FAKE
Trump ups the ante in Indiana,REAL,FAKE
Manhunt for escaped killers expands to Vermont,REAL,FAKE
Four ways to fix American politics,REAL,FAKE
"Paul Ryan’s big speaker hangup is reportedly his family. For a male lawmaker, that’s unusual.",REAL,FAKE
Unskewing Facebook will take all kinds: Column,REAL,FAKE
Conservative watchdog group accuses Democrats of illegally coordinating through voter data firm,REAL,FAKE
Why does ISIS keep making enemies?,REAL,FAKE
We don’t just need to see Trump’s taxes — we need a real medical report on him,REAL,FAKE
Kentucky governor: Electing Hillary Clinton may eventually lead to violence,REAL,FAKE
Huckabee: Planned Parenthood shooting is 'domestic terrorism',REAL,FAKE
Indonesia Builds Largest Mangrove Restoration Zone,REAL,FAKE
First take: A great jobs report for investors,REAL,FAKE
Obama's Remarks on 'Most Peaceful' World Ring Hollow in Dangerous Middle East,REAL,FAKE
'We the People' is at risk: Why America needs civics education,REAL,FAKE
The Reopening Of The Clinton Email Investigation Is More GOP Hype Over Nothing,FAKE,REAL
Will Trump's presidency change the way America views Russia?,FAKE,REAL
RNC Chair urges against changing convention rules before Cleveland,REAL,FAKE
Critics Pounce on Madeleine Albright’s Exhortation to Women to Back Clinton,REAL,FAKE
Report: Obama Administration Makes 'No Progress' On Drone Program Transparency,REAL,FAKE
Obama administration announces halt on new coal leases,REAL,FAKE
“I’m glad that he won”: The surprising Palestinian reaction to Netanyahu’s win,REAL,FAKE
What happens if Clinton drops out?,REAL,FAKE
"Post-ABC poll finds tight presidential race, with mixed reaction to FBI’s review of Clinton’s emails",REAL,FAKE
Clinton takes the fight to Trump,REAL,FAKE
"Mike Brown anniversary: Arrests, state of emergency",REAL,FAKE
Clinton Foundation will continue to accept foreign money during Hillary's run,REAL,FAKE
3 Charlotte Area Counties Report Voting Machines Picking Wrong Candidates,FAKE,REAL
Kasich’s Ohio Win Pushes G.O.P. Race Closer to Chaotic Convention,REAL,FAKE
"Combat veterans face ‘cruel’ struggle to prove their service to VA, amid missing records",REAL,FAKE
9th baby dies after heart surgery at a Florida hospital,REAL,FAKE
Trump is The Lesser Evil Because Hes Such a Narcissist      :,FAKE,REAL
Exclusive: Hillary may delay campaign,REAL,FAKE
American politics has reached peak polarization,REAL,FAKE
Boehner: Democrats must 'get off their ass' on DHS bill,REAL,FAKE
Fiorina blames environmentalists for California drought,REAL,FAKE
"Copenhagen police shoot, kill man near train station",REAL,FAKE
Checking a claim that 'nobody did anything wrong' on Benghazi,REAL,FAKE
