title,true,pred
Paris: Riot Police Flatten Invader Camp,FAKE,REAL
SHOCKER!!! Left Wing MSNBC commentator Chris Mathews has just endorsed Donald Trump for president,FAKE,REAL
HUFFPOLLSTER: Growing Economy Good News For Obama,REAL,FAKE
Hillary Clinton enjoys solid lead in early voting: Reuters/Ipsos poll,FAKE,REAL
"Police: Oklahoma Double Murder Suspect Has Hit List, May Be Headed to Nevada",FAKE,REAL
Obama Wants To End The Era Of Sequestration,REAL,FAKE
"DOJ: Guardsman, cousin charged with supporting ISIL",REAL,FAKE
Nevada: Rep. Election Workers Intimidated,FAKE,REAL
US Not Ruling Out Daesh Involvement in Afghanistan Offensive,FAKE,REAL
UN’s Yemen Peace Plan Would Sideline Former President Hadi,FAKE,REAL
Conservative watchdog group accuses Democrats of illegally coordinating through voter data firm,REAL,FAKE
Wells Fargo is Rotting from the Top Down,FAKE,REAL
White,FAKE,REAL
Indonesia Builds Largest Mangrove Restoration Zone,REAL,FAKE
Gambling on the Unknowable Trump,FAKE,REAL
Obama's Remarks on 'Most Peaceful' World Ring Hollow in Dangerous Middle East,REAL,FAKE
How Instagram Becomes Backbone for Businesses,FAKE,REAL
Which States Don't Have Mexicans?,FAKE,REAL
What Is To Be Done?,FAKE,REAL
"Mike Brown anniversary: Arrests, state of emergency",REAL,FAKE
Clinton Foundation will continue to accept foreign money during Hillary's run,REAL,FAKE
3 Charlotte Area Counties Report Voting Machines Picking Wrong Candidates,FAKE,REAL
"As Flint Suffers, Nestlé Plans Dramatic Expansion of Water Privatization in Michigan",FAKE,REAL
Official Online National Donald Trump Polls Updated in Real-time,FAKE,REAL
9th baby dies after heart surgery at a Florida hospital,REAL,FAKE
Trump Dedicates D.C. Hotel: 'The Future Lies With The Dreamers',FAKE,REAL
6 Myths That Men Believe About Southeast Asia,FAKE,REAL
"Warming of oceans due to climate change is unstoppable, say US scientists",REAL,FAKE
"Looking To 2015, Economists See 5 Reasons To Celebrate",REAL,FAKE
DNC To Sue Trump For Telling Truth: Trump Admits Everything Is A Lie,FAKE,REAL
Why we miss the unpolarizing Pat Moynihan,REAL,FAKE
Obama reportedly snubs NATO chief as Russia makes new threats against allies,REAL,FAKE
Clinton aide key focus in FBI server investigation,REAL,FAKE
